TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,6581.5,6318.4,4323.38,4931.61,6695.46
2001,6665.77,6531.17,4541.82,4867.81,6625.25
2002,6486.09,6731.37,4403.86,4811.4,6913.04
2003,6279.55,6906.76,4406.19,4935.91,7126.54
2004,6368.73,7223.93,4605.74,5128.22,7498.81
2005,6236.09,7475.7,4360.52,5285.56,7674.14
2006,6543.26,8300.73,4428.99,5365.02,8190.92
2007,6591.04,9103.25,4526.2,5502.41,8464.46
2008,6517.04,8829.46,4781.52,5590.26,8047.84
2009,5711.9,6750.81,4552.64,5119.58,6129.87
2010,5897.63,7231.34,4595.59,5147.16,7392.37
2011,6234.65,7202.51,4907.17,5171.16,7759.9
2012,6456.82,6339.26,5033.25,5211.02,7147.23
2013,6604.66,6362.83,5328.94,5316.93,6845.99
2014,6662.56,6280.45,5430.1,5409.58,6716.49
2015,6599.38,6280.92,5674.09,5100.03,7037.44
2016,6967.82,6569.01,5572.26,4834.44,7018.89
2017,7592.7,7039.71,5602.38,4807.63,7232.19
2018,7793.09,6723.18,5828.34,4857.25,7353.97
2019,8322.36,6920.84,5583.51,4950.57,7331.18
2020,8270.88,6848.9,5272.6,4786.84,6676.27
2021,8766.89,7260.66,5392.29,4866.27,7288.37
